,px,py,area (pixels),flux (noise-normed),rank
0,1580.4447498638217,1999.2233414780148,158.0,7787.065396043219,1
1,3991.079105492531,2049.9254460367015,38.0,4795.70537811167,2
2,1416.162174850343,243.51680834402205,47.0,4222.540321417038,3
3,2961.0349370937543,3798.97911822644,35.0,3393.097120444865,4
4,671.639425416127,1626.788765756034,31.0,3121.284263255526,5
5,3594.5451284135675,3170.0689934509323,34.0,3092.9889819658047,6
6,3261.093610649912,713.8496102401873,36.0,2927.7243454867826,7
7,3252.000216139385,3449.6282476690926,42.0,2897.2200437630495,8
8,2328.6276183018504,261.2679831767525,31.0,2864.2785080326444,9
9,927.9181371912806,3528.9232514788127,49.0,2860.4754317098864,10
10,1379.860541780748,2866.7340190222435,25.0,2811.9794868653753,11
11,1108.545931745084,3423.951382106586,33.0,2661.935931980346,12
12,4046.4313930427584,2019.9940161051425,30.0,2563.7577670190612,13
13,1589.0212910925504,1415.0896378178952,25.0,2539.9688004301815,14
14,1531.4736968015543,2047.5202770019885,32.0,2526.1589683479824,15
15,1109.3978256371647,2410.0822169513544,29.0,2502.8744809816717,16
16,3221.7649616188824,3235.6470840050188,30.0,2444.294547796674,17
17,3329.837895551704,3001.6372369135233,30.0,2431.3944463277267,18
18,1642.448933413264,1695.3825013186272,30.0,2426.0301156715036,19
19,1633.221135457532,187.82580424719535,30.0,2413.7344938367237,20
20,2550.321230123917,552.921996828509,53.0,2147.288322538015,21
21,1109.957392210062,3688.674963589706,38.0,2122.227710012519,22
22,633.3242320839068,1122.5193824433647,44.0,2087.2075751968714,23
23,1456.3739941148413,192.16085321497468,31.0,2055.305273443495,24
24,1538.636456442367,3602.775333941511,26.0,2043.148102018938,25
25,2638.4535317265436,3458.133802074088,29.0,2012.8274209902715,26
26,3598.6274356095387,1008.5450815436824,32.0,1999.7877780823096,27
27,2612.744800318634,1713.7576597443056,26.0,1982.808673347853,28
28,358.90574897304765,2712.625879397137,37.0,1962.3303554140427,29
29,2370.4834103775897,2932.8902444631403,25.0,1956.8423789807575,30
30,3003.3744872549987,1605.4867009593415,28.0,1953.3382737598365,31
31,2594.676336485352,3507.2717658691927,30.0,1943.4132697276616,32
32,1915.720264040307,2526.10239439818,38.0,1928.378110049579,33
33,1762.6411286936504,2424.1790971248784,29.0,1919.8400793400049,34
34,2273.8352326233658,166.8412824501071,30.0,1890.6315095873551,35
35,2006.243143771476,3992.0579969720498,37.0,1878.32788183983,36
36,615.3828334390945,2395.604420061818,30.0,1875.4120136411811,37
37,3850.814513498752,2188.780060473731,28.0,1820.6552155756265,38
38,2865.4053228698795,2384.1386955772614,27.0,1784.685522836522,39
39,1283.4930298163197,2025.9574260595937,28.0,1777.646978708664,40
40,1438.9556530863526,1404.3999270688437,29.0,1765.339148933169,41
41,3204.0289479458584,2217.8063254788717,41.0,1764.7674048533313,42
42,836.3537481186684,2419.8249780865312,29.0,1707.243665974259,43
43,3044.6679154176372,1691.470284345598,30.0,1699.800584342613,44
44,1599.9171280995322,2427.107508463472,27.0,1698.008711933555,45
45,2737.591016936078,3331.4500361826786,32.0,1679.1760426395392,46
46,795.637419504439,1825.870059735519,27.0,1675.1840549799358,47
47,3490.03142597837,1663.0579166216312,28.0,1621.8674837778278,48
48,2333.700022352452,626.4474924776036,27.0,1618.9509291338502,49
49,2333.314907035735,638.4542586440274,28.0,1611.9111194398656,50
