,px,py,area (pixels),flux (noise-normed)
0,3991.0790493379573,2049.9252798924194,40.0,6077.923167917496
1,1416.1621174042386,243.5166553832607,48.0,5444.18599698879
2,2961.0373279813944,3798.97847678877,35.0,4276.462093993565
3,671.639992658233,1626.7892589955518,33.0,4067.7379398514695
4,3594.5477139783216,3170.068960515229,34.0,3867.7698381964415
5,3261.0944050254493,713.8493088335433,37.0,3811.8388896635697
6,927.9176536372237,3528.9229854437285,51.0,3684.302413145237
7,2328.627356747487,261.2685347606618,32.0,3681.8948173431863
8,3252.0009040794,3449.62756935946,43.0,3668.142222207349
9,1379.8606258921138,2866.7337526938873,26.0,3613.76449930196
10,1108.546021170944,3423.95358639985,36.0,3442.4740033723956
11,4046.4318075136052,2019.9935163896218,32.0,3275.957621831516
12,1633.2212037102388,187.82591957260732,33.0,3126.8360005232294
13,3329.836955450212,3001.636836103614,31.0,3123.326046127327
14,3221.7651575273885,3235.6474560891693,32.0,3105.0603748160197
15,2550.32082454584,552.9225964268333,56.0,2755.372464995952
16,633.3236172011062,1122.51968665748,49.0,2701.1654876599578
17,1456.373323301275,192.16080106354008,34.0,2676.6672565290305
18,1109.8632448386431,3688.7064764354554,41.0,2597.342203475833
19,2638.45477574362,3458.1338887362413,29.0,2569.2094338448615
20,3598.6273915432635,1008.5446012028129,32.0,2563.887999020466
21,1538.636619018151,3602.7749287870342,27.0,2561.4431403360104
22,358.9058208042162,2712.626749253177,39.0,2525.9027198127083
23,3003.37362317337,1605.4869587485628,29.0,2473.5877619437947
24,2594.676330705931,3507.2721871012827,30.0,2428.6586436987004
25,2273.8346471684895,166.84032585493046,31.0,2424.223647107893
26,615.382649638156,2395.604436709735,31.0,2406.5345680881715
27,2006.2422740193385,3992.0566832771883,38.0,2303.508557589533
28,3850.815251849877,2188.782377164319,30.0,2246.100134080314
29,3204.0309517106657,2217.8063543515746,45.0,2228.5888421279765
30,836.354499989114,2419.824591323498,30.0,2197.325831809062
31,3044.6687739318763,1691.472493538979,32.0,2159.371419688787
32,795.6364124479666,1825.869726127591,29.0,2142.064535567287
33,2737.5911336656404,3331.4499197437563,32.0,2107.0082416531677
34,2333.7011443826354,626.4475269268376,30.0,2099.6657849870326
35,2333.3159891443665,638.4543141003343,30.0,2095.362503563758
36,3490.031228339356,1663.0575540563125,31.0,2072.243731492895
37,793.5624365299076,580.4708021259873,32.0,2066.6742973413225
38,924.273503716885,1223.6950562621826,30.0,2020.7639327071336
39,1918.450501187952,999.6520791599283,29.0,1957.4663495640473
40,2039.0699667479248,515.6696562958824,30.0,1942.646269528326
41,2733.661410691206,236.638548932093,31.0,1902.8794345406125
42,951.227241830483,2500.1449338151783,29.0,1842.7435890242125
43,2861.1865071768366,2777.819700906504,28.0,1837.8968969264433
44,1305.7928951578813,2904.5185549181274,27.0,1816.4415144785887
45,1129.268613528794,2711.112753687982,30.0,1815.046429047335
46,3543.152770825389,1696.7559680532663,29.0,1806.290603757167
47,2463.744930128175,870.7380594106444,29.0,1805.1913329866131
48,1943.9669253323882,3659.2883408191565,28.0,1796.6152785835025
49,1709.8013142438892,645.0763137747973,28.0,1794.90358579887
50,3531.3782548735667,2938.1713719344125,29.0,1749.2670546960153
51,1762.501177735019,3692.254319480915,26.0,1737.5332095197953
52,850.6420821000579,2771.636554777547,29.0,1705.6082852265286
53,759.4679378440628,3250.8744890803246,28.0,1694.9323077066229
54,2567.9633164085635,3458.960564588451,26.0,1657.5021303276903
55,286.0802512548934,2935.3392926814104,27.0,1657.0856613397111
56,2979.618310515237,374.8863808699035,28.0,1656.0553161504888
57,189.81455835351403,1805.4841342971383,26.0,1641.4406804254263
58,756.033574603909,1824.1137687019364,27.0,1626.2152436889987
59,3228.1462266191256,494.19857603754,29.0,1614.82396349299
60,3548.627158137026,1314.1135975182983,29.0,1612.7753115546316
61,1719.2716876190902,3823.565345814889,32.0,1611.187504475271
62,2540.020960981661,997.6577641622762,30.0,1600.8946323800146
63,3436.8436814206743,3341.5539093531015,29.0,1596.0853779388772
64,2315.9081128633343,3139.309944943334,28.0,1562.2077442866114
65,872.4394619215735,2245.4284279647177,28.0,1517.800814138941
66,3837.8933400022675,2279.4445414775673,26.0,1507.5722913774916
67,1803.248757626884,447.35856991408247,35.0,1487.3765617718927
68,1954.5682719461427,998.3678382459389,28.0,1485.6590524951423
69,1143.4790477267713,1550.722196750007,27.0,1483.1981261377946
70,2270.1559065481088,3934.9524566451682,27.0,1479.0871342979162
71,2358.162593316763,3157.8409985743538,39.0,1478.6110522283484
72,1144.6437497180618,591.7304737263466,28.0,1472.060741270006
73,923.0391580134088,3403.353156698151,25.0,1467.79728810593
74,463.26713758227766,1431.7884702096678,27.0,1465.383612686683
75,994.113299004757,1340.7191771674682,27.0,1462.144871505921
76,3621.7097853062214,3038.9385726206347,27.0,1441.8826485292338
77,2959.98911228966,1347.8924506344254,24.0,1437.4296066431739
78,800.9399005698277,2301.0554136024907,25.0,1424.260174364128
79,2422.872723734117,555.4671118137483,33.0,1410.615142104211
80,2390.362844780006,181.45590122521568,27.0,1408.5924839251477
81,2897.310288458357,2719.4292325299075,28.0,1385.312391850126
82,3616.1042533566256,2883.532883398414,26.0,1367.8220308533632
83,3520.846778432688,1185.2211854271811,27.0,1355.1062070217185
84,852.2856887946616,1623.3550592733332,27.0,1336.7087124181026
85,3606.2963042309916,2059.5579255470793,28.0,1319.6772119311433
86,3162.220963886013,745.2285949171123,25.0,1302.405321060656
87,2517.1619503624784,3492.4146215076594,31.0,1284.7328458816244
88,1351.7171802715725,3680.3583973776576,28.0,1276.7356368094424
89,3201.509369983801,3330.330801131459,27.0,1276.2930046802187
90,3549.5124740324422,1739.0524350440567,26.0,1271.121718357002
91,3733.3570508138932,1832.2451886840856,27.0,1257.3913276580288
92,3494.534684428305,1458.6967458529161,28.0,1250.7744950294664
93,527.7161909140773,2965.3013396556275,27.0,1233.3697754540678
94,3947.2751306180135,1837.886800043347,24.0,1196.1483198887954
95,883.5944688471833,1383.7915449484633,27.0,1195.10557540012
96,786.6453943864226,1945.6731691461762,26.0,1189.0058625001107
97,1133.8799745652102,3653.850637611945,23.0,1183.0760737380583
98,701.4976110197541,1694.2011061725743,28.0,1178.626984253742
99,3518.08929342738,1739.0850776695688,22.0,1173.635216740928
100,3756.5459347744313,2783.1930233713633,26.0,1162.1186197318211
101,920.5059382619667,2775.156806812864,26.0,1157.9991981084038
102,3077.782059039368,1303.717102075863,27.0,1153.6420675423865
103,2977.77569303875,2725.020929538206,24.0,1152.4539464692966
104,1112.8965657394644,2670.1493786090964,23.0,1146.2860784281618
105,2804.0742301049017,1313.32198492917,22.0,1139.1218496828583
106,1262.0410710188467,2730.2140637207494,24.0,1129.370850044008
107,2376.9083305048866,3883.933420556366,25.0,1119.021135549336
108,3172.4196685604475,499.19342057390816,24.0,1108.8920498075267
109,3151.0641587308824,2063.2815432501607,29.0,1106.1050807478994
110,1045.9561370393205,2487.130033063059,23.0,1086.49443379349
111,2227.9395993467397,3966.4197250694638,24.0,1085.0057404768445
112,2984.064416875801,3709.9898400977386,31.0,1072.7354670547059
113,2515.8769573909767,3735.111783825026,23.0,1061.5400626059848
114,3187.1559357029723,2309.7481919782263,23.0,1046.881302054655
115,3899.551699693733,2141.129419301241,24.0,1044.457340712711
116,1905.5611958401112,107.60836438258207,24.0,1044.3785973880324
117,2661.0431865262954,3469.037705344325,22.0,1032.6247875287659
118,3651.051049194559,2511.069024168533,23.0,1026.5997286717327
119,1094.8987826974292,781.9974302392521,22.0,1025.6495511836288
120,3596.471532699965,2672.0978697260657,24.0,1021.5806189831201
121,2875.400767170539,3561.4238414947185,23.0,1008.4712330761419
122,2710.1790494584257,3912.6138501757896,25.0,1007.8330990353528
123,3698.946738569438,3093.592553891383,25.0,1001.0627420952145
124,2771.337907479299,887.8671627039311,24.0,998.8532123729319
125,686.4206506085345,3182.9194637675423,25.0,998.676085447615
