rank,px,py,area (pixels),flux (noise-normed)
1,1267.6113418200414,2098.6369901626517,187.0,10518.356956524494
2,1580.4447498638217,1999.2233414780148,158.0,7787.065396043219
3,3231.2492496008435,3358.308728553735,66.0,5018.735184765751
4,1416.162174850343,243.51680834402205,47.0,4222.540321417038
5,2287.6229405698327,459.0400793791354,60.0,3513.2377036842345
6,3252.000216139385,3449.6282476690926,42.0,2897.2200437630495
7,927.9181371912806,3528.9232514788127,49.0,2860.4754317098864
8,702.665481371808,1995.952073294892,63.0,2850.578806093147
9,1246.27668515973,2121.372381726189,81.0,2813.853999285264
10,1850.878934935843,1112.60968347894,54.0,2169.9867023172337
11,2550.321230123917,552.921996828509,53.0,2147.288322538015
12,633.3242320839068,1122.5193824433647,44.0,2087.2075751968714
13,1075.5799465696075,2968.556163875046,44.0,1848.8147207838233
14,3204.0289479458584,2217.8063254788717,41.0,1764.7674048533313
15,2465.8715969916616,1981.9830999783296,48.0,1718.0226270518724
16,2212.107573463628,1713.250641021849,269.0,1002.1226248016318
17,2013.740568818034,1676.257983300245,368.0,968.103285106066
18,1768.8857005674172,2269.5737887554783,49.0,869.2879524884111
19,2016.9714087657933,2511.7526611406015,45.0,661.4262495716032
