,px,py,area (pixels),flux (noise-normed)
0,1267.6113418200414,2098.6369901626517,187.0,10518.356956524494
1,1580.4447498638215,1999.2233414780148,158.0,7787.065396043219
2,3231.2492496008435,3358.308728553735,66.0,5018.735184765751
3,1416.162174850343,243.51680834402205,47.0,4222.540321417038
4,2287.6229405698327,459.0400793791354,60.0,3513.2377036842345
5,3252.000216139385,3449.6282476690926,42.0,2897.2200437630495
6,927.9181371912806,3528.9232514788127,49.0,2860.4754317098864
7,702.665481371808,1995.9520732948918,63.0,2850.578806093147
8,1246.27668515973,2121.372381726189,81.0,2813.853999285264
9,1850.878934935843,1112.60968347894,54.0,2169.9867023172337
10,2550.321230123917,552.921996828509,53.0,2147.288322538015
11,633.3242320839068,1122.5193824433647,44.0,2087.2075751968714
12,1075.5799465696075,2968.556163875046,44.0,1848.8147207838233
13,3204.0289479458584,2217.8063254788717,41.0,1764.7674048533313
14,2465.8715969916616,1981.9830999783298,48.0,1718.0226270518724
15,2212.107573463628,1713.250641021849,269.0,1002.1226248016318
16,2013.740568818034,1676.2579833002453,368.0,968.103285106066
17,1768.8857005674172,2269.5737887554783,49.0,869.2879524884111
18,2016.9714087657933,2511.7526611406015,45.0,661.4262495716032
