,px,py,area (pixels),flux (noise-normed)
0,906.4245610959281,3476.37578424038,21.0,65380.73998836287
1,5829.037502165118,4011.004571678693,12.0,40286.12485627387
2,6236.188383620732,6262.193563141535,16.0,34663.08362658588
3,2086.7982979379203,539.3753967193039,21.0,28281.1403249165
4,662.4146480153936,1131.3418160722479,21.0,22891.087161032898
5,2244.6166836789203,1905.1267278899895,15.0,20621.137003819276
6,9054.261261647422,1934.083976209083,18.0,18406.35071137048
7,8435.509628058739,1483.8351510709072,18.0,13900.370505547318
8,9066.103028772484,3646.962986233457,19.0,13279.078688601861
9,7002.944594854402,3264.0784854289986,11.0,11859.800058053377
10,7514.782239404037,2274.5889184220705,15.0,10153.074168434334
11,1475.157645717836,3255.2817417059564,17.0,9488.11466119563
12,9079.85972860331,2693.6706618193766,18.0,9400.363801957858
13,6097.988955635301,3944.6952421470646,10.0,8559.314147397572
14,8451.192077456975,4399.515332694197,16.0,6807.421022854323
15,7465.862937683678,869.2680748227912,18.0,6568.091159821797
16,5649.165247447304,4473.442913139062,11.0,6051.532837480589
17,5454.65307835511,680.7513658386072,14.0,5303.3660743931005
18,90.44810037223223,944.0622646881823,24.0,4994.94570602173
19,6924.124627393207,2929.2729633690033,12.0,4446.0054287101075
20,4363.764186188927,4414.18476715592,11.0,4395.362718647969
21,1631.873845670902,2688.5920618016844,16.0,4391.4658734869645
22,4878.464056914507,6365.207849306769,15.0,4227.756488496829
23,2376.8782715627517,5771.506736595925,17.0,4058.3131316566223
24,7891.550622660823,5026.583765455664,16.0,3865.308467087185
25,2573.2729707554213,1983.6485812967614,13.0,3852.9232118600344
26,6659.056177298065,2200.9767482252737,11.0,3732.634461314435
27,7484.638351745719,2361.9208717324236,13.0,3691.780159207243
28,6527.9717951947005,280.20976693775276,17.0,3620.052006581004
29,9494.94737531617,3223.9366178679943,19.0,3598.866611918823
30,7844.7202561101985,948.027441594494,19.0,3577.854276186011
31,6301.503405389828,2970.5077469879984,12.0,3515.031137423107
32,1064.8976257157499,1232.7321022008678,20.0,3483.301446897898
33,1431.2142858486395,357.4801088994,21.0,3349.8997329945764
34,2581.484831882509,1543.3616379346531,13.0,3329.784376729346
35,4702.7867572540845,381.4298760502265,16.0,3210.461284406226
36,4506.094180583406,3859.264879460409,10.0,3199.861302890788
37,6630.606297756877,4593.577116058321,12.0,3107.897252183545
38,9142.487960264674,1411.9716660331944,18.0,3020.4330856786246
39,1811.8835271510864,2285.128420283328,17.0,3016.6850786922737
40,4700.419565580187,624.5818447389379,13.0,2976.723975362179
41,1965.3963368379245,1042.1353721504552,16.0,2973.857792736796
42,5533.898871757949,4530.474805686048,12.0,2945.3522376280707
43,6109.089413740686,24.07295136638632,18.0,2906.367906035527
44,7404.336597448256,5964.184396889525,16.0,2881.0423844198053
45,7028.203295519458,2016.790718730955,13.0,2867.9337550955916
46,4043.7632972161264,3658.1198818952944,10.0,2843.0313512192124
47,6854.213628242004,4607.194604515047,12.0,2834.112749888153
48,2706.011347041667,6135.328385902571,18.0,2834.0631974586568
49,5461.915533514169,2653.1262648332345,9.0,2824.8799136991684
50,804.7838798767802,3094.5585131357548,20.0,2757.455331652711
51,8381.03916934952,738.3938933151384,19.0,2740.3418131625913
52,6447.829280951963,2438.1919705187997,12.0,2713.0838921185323
53,1851.6665490587689,2491.3999380778923,14.0,2708.0308690393813
54,5261.359616172943,2392.5408842897996,12.0,2706.418574448864
55,7918.023577858843,6149.526270748692,17.0,2683.292875615223
56,4473.0843042605375,1990.9988930463144,9.0,2670.8023487104992
57,1700.2849457028597,5778.427471283577,18.0,2669.5131397300247
58,5724.873710096591,2399.4604077991,12.0,2638.0781927885664
59,6863.511549289874,114.9127563331858,18.0,2588.7417815192716
60,7934.793636575179,4774.559432910381,14.0,2538.636216020072
61,8228.515136692546,3747.036853542871,16.0,2535.303350149382
62,5271.85547731748,5714.576817729469,14.0,2511.217646428595
63,2652.7338636335926,1994.7445689646477,14.0,2499.900191897428
64,4867.418610933635,4159.317867026626,12.0,2483.6836138137096
65,6329.571313368062,3857.7028582027783,12.0,2469.5081042008233
66,7945.831983436196,1901.9344189027313,16.0,2453.8595741712334
67,988.6516706765046,1857.7605848256635,17.0,2383.7167108377485
68,5782.330102260348,4952.644201149918,13.0,2325.3406513830714
69,6199.8204174873445,4339.342007588696,12.0,2317.493576275776
70,4606.2729749612645,5298.720197868714,13.0,2279.6105557288256
71,5066.532560613201,5774.962523668338,14.0,2251.321597673699
72,5265.68956895568,2380.9170618260773,10.0,2195.7188618107093
73,4845.8192462335155,5730.984955760966,11.0,2175.837339364098
74,720.6313130725644,1264.2057234849854,18.0,2142.4881763697226
75,3868.650599844662,4854.144110944686,12.0,2117.355792139083
76,4070.9039074786524,3380.2251097860826,10.0,2087.383089433783
77,1066.3508522257616,5794.168860329157,18.0,2080.364523523702
78,2513.153777618675,4658.981031204532,13.0,2052.9991650119455
79,6198.093495411368,2559.0680919131137,10.0,1985.7084630458157
80,7048.723812566748,5587.446713806961,13.0,1962.5335713260736
81,6495.544317719366,1442.7120929837754,13.0,1940.765051533635
82,5240.964392854109,4353.973336310456,9.0,1932.5417803455293
83,1989.4381226897947,803.7956641931785,17.0,1897.083379247519
84,9356.767041303367,3938.9154110942545,18.0,1881.0549388196068
85,3383.5590529834867,3100.564643749945,12.0,1847.4884441657593
86,3259.6071768461693,5419.679499228246,14.0,1840.1061830793878
87,4978.6593368206495,2685.9561963853457,10.0,1821.7470620417637
88,8145.391240282108,4034.8098708501893,13.0,1743.7075601748438
89,4178.858427545161,551.1308821423764,14.0,1734.097947099759
90,7333.07618875743,5234.096600185955,13.0,1728.9719247065398
91,6683.935710604078,3452.0211580112687,10.0,1714.2858853171967
92,6283.327204822103,5081.609882303279,12.0,1704.9905647482497
93,9099.84478328508,1818.8108594600328,18.0,1700.3409247971992
94,5252.401061126946,2034.8930717010132,11.0,1687.5492562862974
95,6018.532720855062,1680.2521925917526,13.0,1683.3744624599797
