,px,py,RA,DEC,magV
0,906.4245610959279,3476.37578424038,176.05476,25.218376,6.01
1,5829.037502165118,4011.004571678693,178.8517,25.522108,6.97
2,6236.188383620732,6262.193563141535,179.08496,26.679733,6.8
3,2086.7982979379203,539.3753967193038,176.75333,23.720493,6.97
4,662.414648015394,1131.3418160722476,175.94594,24.01021,7.4
5,2244.6166836789203,1905.1267278899895,176.83022,24.42418,7.84
6,9054.261261647422,1934.083976209083,180.67496,24.44569,7.74
7,8435.509628058739,1483.8351510709072,180.32323,24.217833,8.19
8,9066.103028772484,3646.962986233457,180.6936,25.325968,8.13
9,7002.944594854402,3264.0784854289986,179.51854,25.137794,8.27
10,7514.782239404037,2274.5889184220705,179.80618,24.628073,8.39
11,1475.1576457178362,3255.2817417059564,176.38075,25.11078,8.42
12,9079.85972860331,2693.6706618193766,180.69463,24.835999,8.28
13,6097.988955635301,3944.6952421470646,179.00484,25.48826,8.64
14,8451.192077456975,4399.515332694197,180.34811,25.716429,8.99
15,7465.862937683678,869.2680748227913,179.77454,23.905787,9.07
16,5649.165247447304,4473.442913139062,178.7494,25.759499,9.33
17,5454.65307835511,680.751365838607,178.64392,23.81076,9.34
18,90.44810037223215,944.062264688182,175.62686,23.90713,9.05
19,6924.124627393207,2929.2729633690033,179.47331,24.96613,9.54
20,4363.764186188927,4414.18476715592,178.01608,25.72607,9.51
21,1631.873845670902,2688.5920618016844,176.47606,24.821453,9.91
22,4878.464056914507,6365.207849306769,178.30385,26.730711,9.79
23,2376.8782715627517,5771.506736595925,176.86926,26.412388,9.43
24,7891.550622660823,5026.583765455664,180.0316,26.041075,9.27
25,2573.2729707554213,1983.6485812967614,177.01537,24.467335,9.55
26,6659.056177298065,2200.9767482252737,179.32188,24.592033,9.56
27,7484.638351745719,2361.9208717324236,179.78879,24.673523,10.13
28,6527.9717951947005,280.20976693775265,179.2467,23.605122,9.38
29,9494.94737531617,3223.9366178679943,180.93396,25.105707,9.41
30,7844.7202561101985,948.0274415944941,179.98819,23.94492,9.43
31,6301.503405389828,2970.5077469879984,179.12006,24.987413,9.92
32,1064.89762571575,1232.7321022008678,176.1713,24.067123,9.73
33,1431.2142858486395,357.48010889939997,176.38724,23.62043,9.87
34,2581.484831882509,1543.3616379346531,177.02313,24.241552,9.8
35,4702.7867572540845,381.42987605022654,178.22226,23.654943,9.7
36,4506.094180583406,3859.264879460409,178.09927,25.44114,9.89
37,6630.606297756877,4593.577116058321,179.30896,25.821518,9.87
38,9142.487960264674,1411.9716660331944,180.7209,24.176966,9.74
39,1811.8835271510861,2285.128420283328,176.58228,24.61594,9.96
40,4700.419565580187,624.5818447389379,178.22014,23.780096,9.8
41,1965.3963368379245,1042.1353721504552,176.68002,23.977776,9.65
42,5533.898871757949,4530.474805686048,178.68332,25.788456,10.11
43,6109.089413740686,24.072951366386405,179.01222,23.473337,9.7
44,7404.336597448256,5964.184396889525,179.75562,26.524824,10.02
45,7028.203295519458,2016.790718730955,179.53043,24.496971,9.87
46,4043.7632972161264,3658.1198818952944,177.83757,25.33623,9.98
47,6854.213628242004,4607.194604515047,179.43596,25.827948,10.25
48,2706.011347041667,6135.328385902571,177.05386,26.602566,10.13
49,5461.915533514169,2653.1262648332345,178.64487,24.824429,10.2
50,804.7838798767802,3094.5585131357548,176.00212,25.02106,10.0
51,8381.03916934952,738.3938933151385,180.28874,23.83478,9.65
52,6447.829280951963,2438.1919705187997,179.20299,24.714022,9.97
53,1851.6665490587689,2491.3999380778923,176.60245,24.721565,10.16
54,5261.359616172943,2392.5408842897996,178.53229,24.690235,10.13
55,7918.023577858843,6149.526270748692,180.05225,26.618387,9.92
56,4473.0843042605375,1990.9988930463144,178.08775,24.481508,10.35
57,1700.2849457028597,5778.427471283577,176.48065,26.410393,9.92
58,5724.873710096591,2399.4604077991,178.79404,24.694569,10.12
