,px,py,RA,DEC,magV
0,907.599665046213,3476.359508323253,176.05476,25.218376,6.01
1,5830.133002561397,4010.992796252424,178.8517,25.522108,6.97
2,6237.27834182023,6262.152895247598,179.08496,26.679733,6.8
3,2087.952808449355,539.4157245402776,176.75333,23.720493,6.97
4,663.5419028879032,1131.3542799506072,175.94594,24.01021,7.4
5,2245.752732579313,1905.1393546298643,176.83022,24.42418,7.84
6,9055.306431064266,1934.1008807954438,180.67496,24.44569,7.74
7,8436.55155586093,1483.8687517389722,180.32323,24.217833,8.19
8,9067.158657595099,3646.960753093386,180.6936,25.325968,8.13
9,7004.025464074866,3264.0868037759,179.51854,25.137794,8.27
10,7515.8607595956155,2274.600701660682,179.80618,24.628073,8.39
11,9080.920321074707,2693.6656293836263,180.69463,24.835999,8.28
12,1476.313294926354,3255.2694673146834,176.38075,25.11078,8.42
13,6099.086959309335,3944.67861913278,179.00484,25.48826,8.64
14,8452.255861298649,4399.488918368625,180.34811,25.716429,8.99
15,7466.926039412355,869.3076607608623,179.77454,23.905787,9.07
16,5650.274590532264,4473.436195898822,178.7494,25.759499,9.33
17,91.53918345358397,944.050625193925,175.62686,23.90713,9.05
18,5455.75273745883,680.7825429668674,178.64392,23.81076,9.34
19,1633.0176907855516,2688.5968751239698,176.47606,24.821453,9.91
20,6925.209344429135,2929.2830476168083,179.47331,24.96613,9.54
21,4879.573679879367,6365.161290800689,178.30385,26.730711,9.79
22,4364.864909567187,4414.186507573297,178.01608,25.72607,9.51
23,2378.0179128078044,5771.455592953313,176.86926,26.412388,9.43
24,7892.628210330895,5026.551762103987,180.0316,26.041075,9.27
25,9496.027210846567,3223.9289566268712,180.93396,25.105707,9.41
26,7845.800147248662,948.0693724328457,179.98819,23.94492,9.43
27,2574.4012642300863,1983.6660776089134,177.01537,24.467335,9.55
28,6529.0493565319575,280.26400997232486,179.2467,23.605122,9.38
29,1066.0506272754023,1232.7589117979044,176.1713,24.067123,9.73
30,6660.147056545579,2200.9885764274727,179.32188,24.592033,9.56
31,7485.71818772786,2361.92967227714,179.78879,24.673523,10.13
