,px,py,area (pixels),flux (noise-normed)
0,907.5996650462129,3476.359508323253,40.0,81380.27786284516
1,5830.133002561397,4010.992796252424,23.0,44080.20728145841
2,6237.27834182023,6262.152895247598,28.0,39996.14536695382
3,2087.952808449355,539.4157245402777,34.0,34404.58482687185
4,663.5419028879032,1131.3542799506072,40.0,28555.499051201474
5,2245.752732579313,1905.1393546298643,27.0,23489.22073049503
6,9055.306431064266,1934.1008807954438,34.0,22438.110512219042
7,8436.55155586093,1483.8687517389722,34.0,16768.503366960424
8,9067.158657595099,3646.960753093386,32.0,15986.4807081963
9,7004.025464074866,3264.0868037759,23.0,13256.05521686279
10,7515.8607595956155,2274.600701660682,29.0,11522.583680647793
11,9080.920321074707,2693.6656293836263,34.0,11339.058793841197
12,1476.313294926354,3255.2694673146834,32.0,11060.041234898552
13,6099.086959309335,3944.67861913278,24.0,9454.619936786148
14,8452.255861298649,4399.488918368625,29.0,7945.483575225708
15,7466.926039412355,869.3076607608623,32.0,7827.349046423695
16,5650.274590532264,4473.436195898822,22.0,6569.948364835539
17,91.53918345358423,944.0506251939252,41.0,6541.857527805681
18,5455.75273745883,680.7825429668675,26.0,5981.975607917428
19,1633.0176907855516,2688.5968751239698,28.0,5077.452526920688
20,6925.209344429135,2929.2830476168083,23.0,4894.199090602457
21,4879.573679879367,6365.161290800689,27.0,4786.123312173082
22,4364.864909567187,4414.186507573297,21.0,4777.84239974546
23,2378.0179128078044,5771.455592953313,30.0,4777.586364846447
24,7892.628210330895,5026.551762103987,27.0,4387.329965767777
25,9496.027210846567,3223.9289566268712,31.0,4353.637171783708
26,7845.800147248662,948.0693724328459,33.0,4281.772417095633
27,2574.4012642300863,1983.6660776089134,28.0,4233.558307454959
28,6529.0493565319575,280.26400997232474,30.0,4206.12531772275
29,1066.0506272754023,1232.7589117979044,34.0,4184.934516722267
30,6660.147056545579,2200.9885764274727,23.0,4095.856178017636
31,7485.71818772786,2361.92967227714,25.0,4077.378142843454
32,1432.3532630651218,357.50984968605144,34.0,4055.935235744861
33,6302.59524823118,2970.510864802833,24.0,3724.068508423957
34,2582.6179744061146,1543.3816892470725,28.0,3667.3395243043283
35,4703.903911977296,381.4772937478647,26.0,3623.7108546652335
36,9143.558736839888,1411.9997418026105,34.0,3556.6285301096623
37,1813.026804604729,2285.1483040022317,27.0,3454.1693313439646
38,1966.5349594543327,1042.1610782543635,30.0,3441.614951645061
39,6110.177953659541,24.120887034705856,31.0,3436.148468724854
40,4507.203213677294,3859.2614301091044,21.0,3393.4813053005932
41,6631.698760913303,4593.562265919731,22.0,3331.7148344864027
42,7405.402237467125,5964.147983059728,26.0,3308.6126135521463
43,8382.091746913919,738.4403916562317,31.0,3289.6062102846827
44,805.95455259452,3094.55503586591,31.0,3286.1936749875886
45,4701.533041449914,624.6160826342675,26.0,3275.3629488473475
46,2707.1465848298353,6135.266035218875,29.0,3272.7053136633135
47,1701.4209122429704,5778.385645341106,31.0,3169.4796534466223
48,7029.280933838392,2016.8067667697544,22.0,3139.1725723647114
49,7919.101927389623,6149.484227913385,29.0,3102.3375914547696
50,5534.990193039694,4530.46969252206,23.0,3100.6863568509016
51,6864.581780732928,114.97917651247487,31.0,3076.3624936154147
52,6855.313737700468,4607.184415595695,23.0,3049.6757457678705
53,1852.8155670552903,2491.410747377233,26.0,3038.367311283801
54,4044.8712450155417,3658.117749706244,21.0,2971.7918233490245
55,5262.456601133254,2392.557806009299,21.0,2960.8447421694846
56,5463.007653698701,2653.1394941652193,21.0,2960.64792182269
57,6448.915138368019,2438.203010128984,22.0,2896.3939755071674
58,8229.578362175906,3747.030169486718,26.0,2816.676467035734
59,7935.866040230538,4774.531766709479,26.0,2815.627656267699
60,989.8114768238094,1857.7684831240967,31.0,2803.390879353795
61,4474.199043395205,1990.999164470983,21.0,2785.1840141184844
62,7946.90003168057,1901.9491156113118,25.0,2783.704916052713
63,5725.963146296854,2399.4648236963058,22.0,2745.1260893564436
64,2653.852539168819,1994.7614613363096,22.0,2730.817763503809
65,5272.955991552817,5714.548255974073,24.0,2678.467184953991
66,4868.528760542451,4159.313871106392,20.0,2601.1326226230617
67,6330.6718969712665,3857.699652595903,20.0,2593.5371079988395
68,721.7727836316993,1264.2094622929799,32.0,2587.912217423082
69,5783.429603727366,4952.628532753961,20.0,2461.135598588812
70,1067.464395802346,5794.142463279976,34.0,2458.1267362678154
71,6200.904667404168,4339.342007026048,19.0,2440.7556667801114
72,5266.782697968656,2380.919152257405,21.0,2420.518771841256
73,4607.386265615615,5298.693553163404,20.0,2409.194152052057
74,5067.634347244353,5774.936510781569,20.0,2400.2775893892285
75,4846.9239627409015,5730.96425298569,21.0,2362.3579310046316
76,3869.762287198496,4854.131813360031,21.0,2273.4553424193427
77,2514.284489263951,4658.967018772759,24.0,2230.3287721452507
78,9357.840729908623,3938.909641522793,29.0,2201.770901488988
79,1990.5914911119785,803.8412275018809,28.0,2164.6714807716908
80,4072.003025024538,3380.2355117575025,20.0,2153.0343894411244
81,7049.798377275636,5587.409055661585,23.0,2125.2787650961827
82,479.8183018091245,400.3267698557991,33.0,2098.5530500101067
83,6199.199451191124,2559.075987487663,21.0,2081.537975323441
84,6496.636766574738,1442.7296799566059,22.0,2070.8225678584035
85,5242.065093892176,4353.96223317343,21.0,2006.3158966100966
86,3260.7269054954886,5419.647605750196,25.0,1999.4796154204757
87,9100.916086687153,1818.8206263217146,31.0,1992.3548743995252
88,120.74673618402018,3632.8684126561707,31.0,1945.3930740835112
89,1079.3172275964223,4091.1945404898647,30.0,1939.269001283811
90,3384.6757920481787,3100.567885525003,19.0,1915.288344650331
91,8146.457749251452,4034.8054628992722,23.0,1892.362791215665
92,7334.163648928845,5234.080143265582,21.0,1887.9244801741052
93,4979.754256276766,2685.9580797329627,21.0,1869.8318743157088
94,4179.978288366001,551.1680722792819,24.0,1867.6944124104832
95,7269.021520881281,6095.604028287574,25.0,1829.1476281022206
96,8981.665399522491,335.56999036886623,30.0,1817.1805302632558
97,6019.625838131372,1680.276972272731,19.0,1811.0487712461568
98,8388.21170387896,788.3871191657121,30.0,1796.6977453239897
99,2632.785482300737,6296.856787214888,27.0,1791.0028505925904
100,6685.021496264562,3452.0208462480637,21.0,1785.8745591597087
101,3220.319538990306,1742.0154476752912,22.0,1767.2772356702267
102,6284.416471055125,5081.585852883665,20.0,1743.903296863598
103,6134.89816902053,1209.4161941834916,23.0,1738.8608071789274
104,5253.513507308848,2034.8946512440484,18.0,1723.5422910699506
105,1603.0368787168256,4921.025033441546,25.0,1720.8539762935006
106,9294.981854742355,4967.584648749036,27.0,1719.556319042477
107,2313.994064414525,3829.7552051516045,22.0,1714.0503475509477
108,6443.069616521653,4482.204356325419,21.0,1708.4246841067595
109,2887.1375684312015,3373.8995526816884,21.0,1696.4548586112037
110,1663.4578191332057,3996.6107818412956,25.0,1681.5986466111024
111,2708.1941011296076,449.06706369639676,29.0,1677.3540673605962
112,3559.461446987137,4468.649149696714,18.0,1657.1578259578728
113,3568.975651916721,1408.7482389640788,22.0,1648.4995926513125
114,2692.076889947772,2404.221396939848,20.0,1642.6560315160689
115,4768.358849573348,3584.408594385027,18.0,1642.5306245832421
116,1853.2609118066944,1832.4809675284419,27.0,1642.0683422744553
117,5421.266816145897,454.8036943836997,24.0,1636.4274005236362
118,2237.6950961635193,1865.8649124160786,22.0,1617.6780363067767
119,1503.1345488470588,4516.646771863587,26.0,1599.9845665451867
120,7434.487385041223,6337.466205833113,26.0,1593.9320164629487
121,8743.554833874925,3156.2337313191542,28.0,1587.8837026077028
122,4653.846510381661,3331.170241019332,19.0,1574.2339605240634
123,7311.542094695689,697.342057732454,28.0,1551.9319891827706
124,3961.1604027609583,5010.675252157544,19.0,1489.7761406805027
125,9350.449335250973,4305.6247645302055,27.0,1480.3482781462174
126,8072.4889340106865,5370.020799651225,24.0,1477.6946848496164
127,99.2145654144576,6381.692053778927,32.0,1476.7542063636809
128,7123.77874571069,4885.804672568614,21.0,1463.8802407365251
129,2149.7833432510565,1570.7272897001087,23.0,1458.437866434591
130,6072.931011079354,3253.693367466089,18.0,1457.0991544832782
131,3982.4904874659765,1265.4185607425502,22.0,1442.0678582010319
132,7822.4514200343365,4033.802926968616,22.0,1438.5524519223575
133,2836.178637370643,2728.9719440171643,21.0,1430.4140516934003
134,3914.827549136383,3879.1350491683893,21.0,1407.0917638172348
135,6346.705514084447,2127.7086270302993,19.0,1397.5915020573964
136,997.3546694814088,242.81507150198868,32.0,1395.291300112157
137,9124.941615032356,5883.719600395535,27.0,1392.9108819083558
138,8218.382069645291,3924.640471092806,23.0,1371.4785755126907
139,2343.6142936246038,1111.895137935855,23.0,1343.6164107224272
140,680.1574986440907,1863.9756737602447,44.0,1340.917951959082
141,6018.668946438811,5869.33716381855,20.0,1335.6237048726998
142,7866.71978450546,6205.703847391349,26.0,1307.265610773425
143,9296.24032358257,3823.2897788742066,28.0,1305.2659663023896
144,6614.813554110928,361.51895897552004,27.0,1291.9632935790341
145,9385.86745850852,2351.855530651481,28.0,1272.2221015528685
146,4170.526600969326,777.1476566857535,21.0,1221.376371871259
147,5406.656613294117,5980.792640593987,20.0,1217.381078685603
148,4102.220525427984,3814.5472601884558,18.0,1202.7426073282552
149,1965.95087109731,1637.8161916866725,23.0,1167.402446073828
150,4547.471888606411,2943.7352833729387,16.0,1158.1314393586824
151,8509.15335557886,6119.326282976095,25.0,1153.796475237451
152,4922.960663537377,407.84722341462276,22.0,1128.6838450893258
153,6902.541959049646,986.707070719565,23.0,1100.0652763388682
154,9493.929607898723,3655.658893071197,27.0,1071.0423525826816
155,1257.2775307681288,4889.994515521495,26.0,1066.9907437730633
156,9485.33538397357,4559.009661838658,27.0,1065.7162131032378
157,7376.868476778252,1974.2528057210554,20.0,1062.6117252674837
158,2768.117363024688,4531.359862627721,19.0,1047.1169466143162
159,7727.162715433288,3965.0191179778312,21.0,1046.9649582203185
160,4030.73309418,485.74747198001063,21.0,1046.5666256549125
161,9183.872914559617,6329.400931443493,29.0,1039.8664642719941
162,2530.506228459679,5412.928987746907,23.0,1033.025732484935
163,4531.675322230948,4644.154297177269,18.0,1030.7739823010606
164,4273.7303082561575,5658.276696666942,19.0,1027.75390393475
165,6129.884862108926,4023.5336771232155,16.0,1027.6502537959539
166,8102.508688282826,5181.638281472794,23.0,1027.2327617214414
167,455.6069592550451,2372.361504780714,29.0,1021.2843953812685
168,5221.027743747894,3566.463689591845,16.0,1018.613790656926
169,3695.971556279999,2649.8092020883137,19.0,1016.3446328928994
170,2661.176211261098,979.6758120212313,22.0,1015.7047218275175
171,6661.2589373399305,5560.185116406702,20.0,1009.2228634942535
172,9566.550593896087,1040.2273455272084,30.0,1007.8244430348819
173,1475.1916598223593,2147.2321464456827,24.0,1002.9388504112967
174,7989.836128309416,2388.0744228747008,21.0,1002.7584474484461
175,4081.7750728246365,5617.853364973428,20.0,992.0772721633352
176,5860.418848756621,1807.6864081357653,17.0,991.6036879247017
177,8503.905709081371,2947.164587123467,22.0,979.9381111114367
178,8555.833740223681,4199.8959945055385,23.0,975.9281548317529
179,3018.828205991825,5932.488930493531,23.0,975.170467693688
180,6337.820174090049,5903.157778092047,21.0,970.2084626070261
181,5771.603426954195,282.6934652295138,24.0,966.7351268750778
182,1697.2106159764746,6028.95670340282,27.0,966.3697486691718
183,6867.5502805033975,5829.450059912362,20.0,954.4951393014387
184,4263.353178482035,3244.3577532189797,16.0,949.404795003394
185,2136.94730241712,4452.547942485724,21.0,944.2832492093186
186,5018.539679312969,3345.1248199462966,16.0,941.9740775137848
187,441.8304730888624,2517.469364488545,28.0,941.2144105000739
188,5251.038371077362,4265.204407263893,17.0,938.8330565628295
189,6770.0428448995035,4200.015180623058,20.0,935.0347716355543
190,334.3897423488889,2221.9009424314204,27.0,924.9128257395403
191,4903.370600019955,5275.386574552925,15.0,920.5809133888248
192,8108.497127357626,2484.47398284972,21.0,915.5809950057501
193,147.23864105977438,1962.4615993590585,28.0,901.7288784196944
194,407.068411398065,2400.560635120503,26.0,898.1792527147179
195,147.01647333692617,252.1724412107454,33.0,897.9103720797477
196,120.85090438950247,6044.19090923428,31.0,897.761604704381
197,4763.3466356036215,5943.127710369725,17.0,897.2099943101628
198,7167.216390055842,1856.0190675151227,19.0,896.9361183551227
199,473.2627885074622,4696.312441273723,26.0,896.0599520738234
200,6169.542647913586,2495.119942908478,16.0,895.3680206114121
201,9155.523442742324,2522.095056917095,23.0,895.1826723731565
202,2640.6475885387713,4310.306929018295,20.0,889.4749994943826
203,5975.771588789512,3253.5600196040837,18.0,886.9691445982725
204,767.10848225894,6086.159234715606,28.0,876.2816722194906
205,1755.750629532065,1550.3957362117076,23.0,874.5460809299128
206,7881.60292256398,5023.100627268847,18.0,870.9817041842476
207,992.2572124240951,3324.213784568881,24.0,854.5915642910786
208,9326.436800715428,4564.83776583231,22.0,853.775453890789
209,8754.945545195545,2927.1127240682617,23.0,853.4695410424314
210,9544.139730939396,3738.3944469635226,27.0,852.9765999372264
211,8781.64899871278,2096.546131834859,22.0,852.215278283651
212,4642.934747576846,737.731311393659,21.0,848.5659521426875
213,1779.8127037496272,1213.441235825753,24.0,847.0458940496702
214,7303.4623960357685,6371.492276765782,21.0,841.0545653457547
215,2113.4639773523686,4761.367362516207,20.0,825.6701197541404
216,4932.877172136484,2650.4884746285406,16.0,824.5683753360678
217,8917.946166797743,4131.767756895137,22.0,822.0080002311117
218,6934.926363169927,2025.8898150753225,19.0,821.0487203544436
219,1379.8814869740972,3523.764834460099,23.0,819.8953704944597
220,6797.82296174417,5383.657197419853,18.0,813.9300239042332
221,9122.30283036657,157.58840085140721,26.0,806.5747144361566
222,918.5991784385939,3492.6903885728625,25.0,805.5691810554456
223,2194.181360221799,1822.5818487166514,20.0,800.0834803323022
224,7058.750541828859,437.9820076124333,24.0,798.9887156946317
225,1478.096723590457,4060.189040809519,22.0,798.5603536624452
226,1700.3006957881823,6343.50385516645,27.0,798.5221016812512
227,3144.307930395349,1240.795961836613,18.0,797.1284799392558
228,8955.043349062926,509.91577572433073,25.0,794.276551708881
229,6736.760760330086,797.4024167655189,18.0,791.6790907594041
230,5135.147208410472,4880.781231038302,18.0,791.4074827741667
231,8609.034055536025,3812.014685892853,21.0,786.7047881108689
232,4533.937922416244,522.0264840519332,21.0,786.6525918355902
233,5457.222239750934,2716.1159292466637,17.0,782.6816270920713
234,353.02622285948735,989.3086793027647,28.0,780.5504324649742
235,2649.225883544868,2615.0500738940323,18.0,779.6868556291641
236,7101.179920663937,484.50209625988447,22.0,779.4228847745003
237,9278.1742602989,2704.151462731019,24.0,778.1059212743405
238,7828.363057463319,540.0566292434287,24.0,777.2749968142023
239,2069.4366200551494,4546.089708537664,18.0,775.1985123445629
240,1525.0049984763998,6320.973911254203,24.0,773.8284211330125
241,4154.254338373587,5931.751134756742,20.0,769.3157359838574
242,6521.097369549695,5127.621688551107,16.0,764.4146289413927
243,2501.0790852106784,2942.82235628321,19.0,762.2666367332769
244,2897.9868034258575,672.3016919086151,22.0,757.8356293599762
245,2321.5746161863826,2516.712662995635,18.0,757.7694718592559
246,8359.766257471638,262.71687115997656,26.0,756.4867380680794
247,5162.039226364221,3531.323799776152,16.0,753.9246414023521
248,983.7592414850759,552.9716559519908,28.0,750.6297187512057
249,1353.6264631372292,6090.906540608852,25.0,748.0016150038559
250,8067.180747081985,5250.293585328929,19.0,745.795020573406
251,3155.1012504675905,1659.7652520850097,17.0,743.5203923298252
252,1066.3477316532596,1033.9162697474087,24.0,741.6650957142923
253,5240.806827047893,5228.026011542382,18.0,741.4250109637555
254,4458.334680065841,5927.752741693377,17.0,740.3053269002079
255,3466.069671740496,3716.818594203143,16.0,735.7097330689212
256,5820.145880686826,4222.977100533053,19.0,735.3042193803525
257,4816.95500312556,15.41982893108053,21.0,735.1893634268649
258,6227.998475522371,1484.774245467774,18.0,734.6988364314657
259,5445.6669865148315,5475.805532314602,15.0,733.1702626630627
260,7204.970817245286,4058.050055552731,20.0,732.0473875216827
261,5368.439315010625,5538.211256794587,16.0,728.6684083192747
262,600.4457801475345,3644.337903519201,24.0,727.5670901075879
263,5798.652254484347,3553.937390868811,15.0,725.9108979776994
264,3059.4970814644403,1808.8282567372594,17.0,725.5494238202999
265,5908.674249805143,662.5573472586324,20.0,724.9875105714518
266,928.9040191284358,3082.078509893369,21.0,724.1382352375576
267,4932.451814834721,4695.3267492713985,15.0,723.9415480018608
268,2298.95033313757,1740.0561667451934,20.0,723.7359339724345
269,2939.4888485728857,6177.984391966733,21.0,719.2334718398685
270,5697.441554250629,3114.7911802587228,15.0,717.4148482908251
271,9211.758831923755,283.46507712193204,27.0,715.9918343050039
272,3124.980269008068,82.79583176570502,22.0,715.9142770546936
273,4488.393510673795,2536.598074720837,16.0,715.602685254388
274,8958.226687796843,1630.261935671046,24.0,713.3976879262624
275,1819.900982522381,4021.536200352115,19.0,712.7672515890025
276,8203.33327114499,4245.194089334227,20.0,712.305692837695
277,1844.181362612488,4495.261021140748,18.0,712.2827029027699
278,4628.454843744544,5045.32308874023,15.0,711.6098893122789
279,1050.4342154988724,2444.264648799466,23.0,710.2845811987567
280,5044.487573500315,3477.966292951286,16.0,709.4609050955635
281,5374.823627028675,3927.3476386588663,14.0,705.9492874526348
282,5668.112812093833,1556.8148769816812,17.0,705.7778481544244
283,9214.686033071077,3004.510264679546,23.0,704.3437577262595
284,3089.3085714617146,4212.60297767508,16.0,703.6790229810201
285,5104.541187013398,2078.85753724267,15.0,702.9729494717022
286,235.86951439795476,5483.224427030426,29.0,700.475101908955
287,4387.671851297448,4105.554889041002,15.0,697.9942268333992
288,5861.905707905492,3762.9991034716722,17.0,697.7315830070515
289,3937.904112529068,3154.443711293407,16.0,695.4919541258663
290,6329.237008152068,5173.087061076544,17.0,694.7761305207976
291,715.6820994353507,943.8015529188167,23.0,694.2596186426192
292,3346.3234072490422,1872.5781510173892,16.0,694.1651926554381
293,629.0204830371604,2453.9410866766625,26.0,693.1823399286708
294,6211.011825756121,6048.124025666355,21.0,692.8214496512214
295,4654.742969132894,2249.3666026928427,16.0,692.7502643832827
296,572.8883186262658,5514.25966757473,27.0,689.9240226967986
297,7045.653032715664,2823.045963405853,16.0,689.3931245814534
298,1944.9102768483708,39.99402608254296,24.0,685.9146869915019
299,5856.5007288049055,4844.293444396287,14.0,683.9992849452286
300,3269.36771059435,3133.593665237275,14.0,683.7204465096158
301,3809.4438677661997,2615.981288609748,16.0,683.2429898696513
302,5006.499110870413,71.39675747831981,22.0,682.7114726420617
303,8328.73231699606,5004.645011152339,21.0,682.4590943456307
304,4371.948796267037,971.9001931364157,20.0,681.1700993494396
305,971.4208021663324,1742.328236971729,22.0,679.7364142283822
306,5966.810748714371,706.8146837758734,20.0,679.3197899593376
307,587.6265174220222,3775.1623551852213,24.0,677.7162308528513
308,3931.2098287660638,5538.351752738448,19.0,675.849876666299
309,2517.0457413009526,5606.326364631844,20.0,668.0102111465985
310,6474.024272129145,3846.5052756032246,16.0,665.7080361705276
311,8515.158382149744,3774.7473297932916,21.0,662.811096760608
312,3693.6651050912833,4565.535852826005,15.0,662.6137103763081
313,1486.043132296594,5432.246594723185,25.0,661.5170263006383
314,8189.2789606816505,784.8883076082762,22.0,661.3734295003084
315,6835.481967325143,4156.33559921179,16.0,660.9421007733404
316,6791.818022682244,3352.8898913917624,15.0,660.6873062657868
317,4982.9450478086,5151.325336726361,16.0,659.934960086524
318,5889.503970161288,1444.0168986979295,16.0,656.1414950564944
319,4646.772512003728,2116.4220845724913,14.0,655.7202853497398
320,8272.463098538417,3459.689027438408,20.0,654.0506495018942
321,752.8691183717132,1749.6684725667415,26.0,653.9487582986696
322,2643.4697958790985,1042.7949622917915,18.0,653.5833291886806
323,5270.907436575441,347.37697979391817,19.0,651.6500936434322
324,1853.8582455444737,3550.558842560309,20.0,650.6097007792457
325,8912.621939619637,5983.260014599159,23.0,648.1325872211515
326,7699.764843516108,1258.582506156321,20.0,647.8122429814562
327,4010.8608065506037,1149.6895414530873,17.0,646.1562229136609
328,6816.992288385438,3872.662443989941,16.0,645.972375267042
329,7317.238524824415,5724.786931948981,20.0,645.3624108807849
330,5003.92910424814,2416.735363949981,15.0,643.6434251215668
331,5511.302951603465,2395.1030590932164,15.0,636.9362788396407
332,8410.279638331922,2100.4800163470954,21.0,636.8131206984981
333,8368.982062662839,5949.331318155785,21.0,634.7261911459741
