,px,py,RA,DEC,magV
0,7877.311742227698,1883.6752973402458,15.735271,7.890291,4.28
1,9399.045409443714,4612.078247640666,14.957138,6.4831796,6.16
2,6966.289262680427,6237.98382509707,16.219492,5.6561513,6.02
3,5279.055130515601,6260.632719175725,17.090906,5.648714,5.51
4,2673.287712875819,2515.6735699160126,18.433764,7.575021,5.2
5,2205.4390869967147,3645.1499363638354,18.67652,6.994936,6.04
6,8618.23554733358,788.4278406563676,15.34616,8.450536,7.51
7,6097.443029699635,978.8306097807763,16.656406,8.359746,6.94
8,8079.514126080843,70.38305541269165,15.623268,8.821438,7.06
9,1794.9431540629112,3720.3274695297723,18.889223,6.9562025,7.66
10,8274.652670464733,1783.0037978619262,15.528595,7.9407773,7.55
11,7483.689837012139,4077.6646345994227,15.9465685,6.7647686,7.13
12,2662.1193630534526,2510.0219990856476,18.439474,7.57791,6.23
13,810.1072647711048,5805.371730147983,19.398682,5.8842115,7.65
14,8503.021027964824,3018.2167152210322,15.414867,7.3052883,7.76
15,6686.809940434721,1030.6971144490835,16.350441,8.331795,7.92
16,6652.579987267076,5433.117741365837,16.37977,6.070831,8.23
17,8716.073499584507,1599.0598043164332,15.298723,8.03366,8.11
18,156.85570075370288,2795.1425466814712,19.73932,7.4305105,7.98
19,7641.064566669465,505.4178914987542,15.852822,8.599345,8.31
20,1768.6198333355014,194.46237272688495,18.904982,8.768017,8.17
21,6969.645337115246,3534.4368724972787,16.211184,7.045286,7.94
22,7939.4377179639105,2641.8242114096984,15.705722,7.5006914,7.81
23,9058.017920149276,2919.168454485765,15.126645,7.3541017,8.12
24,5963.843952474089,410.4109131410614,16.724379,8.652196,7.98
25,6062.632604784841,4276.385223517661,16.682125,6.6667123,8.68
26,7293.403060548688,3215.7637071827053,16.042685,7.2079067,8.69
27,2656.6398144815453,3867.2222929593377,18.443106,6.880979,8.5
28,8083.72383531732,6019.116284622508,15.641699,5.765209,8.57
29,3198.711674526496,4428.072514583052,18.163097,6.592805,8.55
30,6892.488528272808,1879.4347005195407,16.246561,7.8952494,8.73
31,4864.94200225997,1106.51935630739,17.296412,8.296466,8.83
32,8213.709503119671,5820.673718790667,15.574205,5.866556,8.82
33,8753.054674430803,167.75816730476936,15.273891,8.768699,8.93
34,2006.8957501881373,1604.1315901673643,18.7797,8.043058,8.95
35,6791.243017642873,1919.8434302531236,16.29918,7.8748507,9.01
36,8460.462989270754,4089.2893854331496,15.440581,6.75541,9.12
37,9274.721816578714,4990.101400362668,15.02264,6.2895527,9.46
38,1136.9208716205221,4000.8263636123556,19.230457,6.811798,9.03
39,2457.9584185721383,3025.9590492358984,18.545427,7.3126307,8.99
40,9226.445974930011,5158.748913504734,15.048432,6.203041,9.21
41,7440.8326607801855,3139.0507947142755,15.966027,7.246872,9.25
42,8934.8932405421,296.423707828184,15.179656,8.701813,9.27
43,4203.096598039675,4119.759999053509,17.64299,6.7504916,8.68
44,3266.308476424016,6017.199817502883,18.129427,5.7759438,9.55
45,547.6042501347492,2988.27062384783,19.536882,7.3318048,9.51
46,7798.739158080572,2995.431164404035,15.779993,7.319422,9.51
47,1060.8830243623347,1855.1861927083323,19.271343,7.913753,9.16
48,9207.943247513718,840.3870573692284,15.040276,8.4216175,9.95
49,822.3687591706735,3341.5374207346895,19.393848,7.150165,9.39
50,4044.9310642811383,5851.813649554022,17.726955,5.8601685,9.58
51,3639.1188304576544,557.4017954106266,17.931587,8.580333,9.2
52,2412.16593867581,3876.1159791575983,18.56967,6.8762074,9.15
53,7618.123451114662,133.859053750165,15.8635845,8.790166,9.3
54,1432.0559808653388,4457.533035340915,19.077442,6.577071,9.7
55,3141.49373788406,4070.0154857235752,18.192236,6.77644,9.07
56,4840.523217718795,5430.779408388704,17.315453,6.0762296,9.81
57,3332.7600304558473,641.6037617514285,18.0913,8.537104,9.36
58,7582.587928425561,5982.177830525885,15.900208,5.7858906,9.92
59,8103.854142168148,3618.442663647039,15.623335,6.9980717,9.89
60,2020.5464964591283,191.42744156471463,18.773602,8.769138,9.84
61,1137.5257639441743,728.9549140336121,19.23214,8.492803,9.36
62,7394.426805442665,661.9000924269503,15.982105,8.520012,9.71
63,7117.51304311704,2695.6385877526036,16.13135,7.4750724,10.01
64,1742.8471730582446,3064.960582036695,18.915972,7.292696,9.49
65,9306.915722530199,10.640841831729176,14.985532,8.84624,9.89
66,6561.954810234175,4385.3644831635875,16.42422,6.609619,10.3
67,5816.75755975024,6322.829597196845,16.81321,5.615845,9.97
68,7104.325610904484,5053.053495556233,16.145346,6.264802,10.25
69,5277.027718443576,284.9121217609868,17.081457,8.717875,9.83
70,8432.892242468984,1123.8249963630496,15.443895,8.277752,9.87
