,px,py,area (pixels),flux (noise-normed)
0,906.4950441627834,3476.359558358587,38.0,80494.68996763916
1,5829.0336143212035,4010.992632460089,22.0,43656.257486456816
2,6236.1775121581195,6262.152970004653,29.0,39524.62406226743
3,2086.85246782226,539.4157788522599,35.0,34055.81254399358
4,662.4401287011891,1131.353169658969,39.0,28205.453969511225
5,2244.6538155689004,1905.1387459174166,29.0,23249.5598143922
6,9054.208722405685,1934.1006175128819,34.0,22159.50248332505
7,8435.452641941421,1483.8678971426407,34.0,16609.01052986527
8,9066.062383493372,3646.9590943354638,32.0,15802.993221454026
9,7002.928644910208,3264.087652980362,22.0,13108.062134100353
10,7514.75811312713,2274.6018153185482,30.0,11410.312058875354
11,9079.81990857765,2693.665207916731,33.0,11246.04541336946
12,1475.2104165726967,3255.269657986766,31.0,10921.295040266268
13,6097.9879676178,3944.678907943648,24.0,9325.73390043899
14,8451.155803669302,4399.487663289022,28.0,7852.911229594084
15,7465.825010705875,869.3076868687422,32.0,7733.683039993593
16,5649.177439959702,4473.434411067355,22.0,6521.629218020237
17,90.44777675166213,944.0514444027892,39.0,6454.500455013771
18,5454.6514872739035,680.7818107697227,26.0,5918.239841509578
19,1631.9192763091512,2688.5951059690556,27.0,5031.962182090786
20,6924.111251407856,2929.282131376743,23.0,4833.233976283852
21,4878.471930573841,6365.161976989748,27.0,4729.120394757398
22,2376.9207329384035,5771.454692071387,30.0,4726.999340161765
23,4363.7666050852795,4414.187778731801,22.0,4723.77947820388
24,7891.524700106241,5026.552285827765,29.0,4339.158114960923
25,9494.931960401458,3223.9288821059613,32.0,4303.817579879324
26,7844.698351131086,948.0699986284238,32.0,4238.155090327656
27,2573.2982341136963,1983.6657112695032,26.0,4196.149670877869
28,6527.949689937802,280.26504970981426,32.0,4170.830751707112
29,1064.9527046273058,1232.758121510293,34.0,4137.255052184731
30,6659.048959442831,2200.9886237792894,21.0,4040.751366938139
31,1431.2534559743222,357.51066055667764,33.0,4027.8081711120826
32,7484.615732458862,2361.929227330191,26.0,4021.2368452202777
33,6301.499004375023,2970.511961082712,23.0,3690.2894810381804
34,2581.5201112814466,1543.3812139450174,26.0,3623.142108743663
35,4702.802263417681,381.47826599956784,29.0,3588.321530159111
36,9142.454482478483,1411.999180444818,34.0,3523.745507566856
37,1811.9270800654258,2285.146680902983,27.0,3415.7345052637547
38,1965.4368872251466,1042.1601024799434,30.0,3400.8905602908317
39,6109.075892810391,24.124005193280958,32.0,3398.5973715380323
40,4506.107150665998,3859.2598791647765,21.0,3359.29572841507
41,6630.597865472832,4593.563535464905,23.0,3307.45343335534
42,7404.300916895831,5964.14817717299,26.0,3278.8260485767596
43,8380.99307541249,738.439792969623,33.0,3258.791545578451
44,4700.428732749442,624.6163516434193,25.0,3249.27970014933
45,2706.0460145306233,6135.267157519187,29.0,3243.081263591112
46,804.8577527759973,3094.553482127695,30.0,3237.7697232419264
47,1700.3261138540167,5778.386126204177,32.0,3129.2921783391384
48,7028.185117916794,2016.8079309305988,22.0,3104.7459128018363
49,5533.890514126349,4530.469041675796,21.0,3072.9548996397416
50,7918.001085542263,6149.486266898551,29.0,3072.1794817789378
51,6863.477471184014,114.97978794227677,31.0,3041.220218598155
52,6854.212823050012,4607.1845786941585,23.0,3013.2650260508212
53,1851.7172401963544,2491.4101760166136,26.0,3009.5227482990776
54,4043.7727500197516,3658.1176792912047,21.0,2946.2242035990284
55,5461.90663909505,2653.139139583644,21.0,2938.4942867692375
56,5261.359853757593,2392.557702905005,20.0,2936.4325684131227
57,6447.818127761629,2438.2029963936093,22.0,2863.320167973471
58,8228.476208010075,3747.028668344077,25.0,2787.65839352295
59,7934.767353522157,4774.530877492376,26.0,2778.7013680692457
60,988.7136933878097,1857.7688342617068,32.0,2771.8727841587443
61,7945.802474822003,1901.9476581178626,25.0,2755.9093087055617
62,4473.100153259988,1990.9996597738009,21.0,2751.3467185433174
63,5724.864548502159,2399.465022681156,21.0,2729.490384426693
64,2652.752398939054,1994.761991656084,23.0,2701.5327484996005
65,5271.855902788211,5714.547555367289,23.0,2660.151827303793
66,4867.42895641798,4159.314349010931,19.0,2576.8597828276324
67,6329.569675119085,3857.699846393582,21.0,2568.8596447104524
68,720.6741602256911,1264.2056380497022,32.0,2551.2767878035615
69,5782.333149554504,4952.629814976016,21.0,2434.9151298572724
70,1066.3656065040548,5794.14129081081,33.0,2425.913629264714
71,6199.81095772744,4339.341485608647,20.0,2425.4217880901806
72,5265.68854760918,2380.919071302927,20.0,2400.7003539223238
73,4606.288856758571,5298.693163121958,21.0,2382.5350236150684
74,5066.532882602801,5774.937365259979,21.0,2371.11585357242
75,4845.825836351661,5730.964351564578,22.0,2340.335068844724
76,3868.6634400927865,4854.132109635896,22.0,2248.4169739788267
77,2513.183334077695,4658.9661870671525,23.0,2207.1103212108796
78,9356.743842355167,3938.910691680673,30.0,2179.8202868727167
79,1989.495597850876,803.8398919905269,28.0,2139.364336325959
80,4070.9047387923006,3380.235767666177,20.0,2134.2172533883117
81,7048.6966513774605,5587.409053732617,24.0,2104.232593285643
82,478.7235696984098,400.32781563114065,35.0,2077.497821580056
83,6198.0985797588255,2559.074672698973,21.0,2058.7976396028207
84,6495.535336441448,1442.7291773081668,23.0,2050.4298936159917
85,5240.96676350959,4353.96101276982,21.0,1987.3472297436383
86,3259.6285131697796,5419.646590772424,24.0,1981.0483492831886
87,9099.815673071002,1818.8194846324839,29.0,1972.3686020508776
88,119.649175717226,3632.869920970935,31.0,1925.621103447675
89,1078.2135526201214,4091.196857839275,30.0,1910.4495189976972
90,3383.576015827509,3100.567388976211,19.0,1897.1804133880846
91,8145.357334165649,4034.806433264292,23.0,1876.26546536403
92,7333.063875925865,5234.080336435251,21.0,1865.6729102747906
93,4178.879287044802,551.1677621461106,23.0,1850.1525181009565
94,4978.656622246891,2685.957682320984,19.0,1849.303989005632
95,7267.924681330716,6095.603487519562,27.0,1806.6593071590519
96,6018.522967094686,1680.2775578221692,20.0,1802.9902822946547
97,8980.564514250344,335.572711161581,30.0,1801.599449825937
98,8387.105417357052,788.3868176758157,28.0,1777.93987007044
99,2631.6843892213337,6296.85778027551,27.0,1773.9131983776415
100,6683.923676370743,3452.0220894247104,21.0,1765.1238070405861
101,3219.219320467318,1742.0148458382143,21.0,1749.18891628217
102,6283.314660692132,5081.587441056222,20.0,1727.668698420853
103,6133.798257436215,1209.4137205326558,22.0,1717.5971299094983
104,5252.41337699074,2034.8959422199964,18.0,1709.6357198048372
105,1601.9400991029756,4921.024623408864,25.0,1700.8104736988553
106,9293.889025609617,4967.58698191526,27.0,1699.9685457777364
107,2312.8950769940266,3829.753807438171,22.0,1693.6217268258004
108,6441.975108921703,4482.203902786967,21.0,1692.7233497261589
109,2886.038962940712,3373.901154414886,21.0,1681.4132714971413
110,1662.361453381707,3996.611077432315,26.0,1663.0501140846618
111,2707.1000114782746,449.0652479172336,29.0,1661.6797227614281
112,3558.3627470921415,4468.646859909153,18.0,1635.6916672049624
113,1852.1627767976952,1832.481004312038,26.0,1629.0096485903389
114,4767.260090881349,3584.4087943043833,19.0,1628.6196088015467
115,2690.978723273554,2404.2202001333994,21.0,1628.5173546956432
116,3567.874628872279,1408.7484678492642,23.0,1626.6518328349764
117,5420.165083177718,454.8026256926903,22.0,1622.6345121033924
118,2236.5959439741127,1865.8641030119597,22.0,1600.7652230206666
119,1502.0408281207192,4516.646375874093,25.0,1582.0828580896928
120,7433.389212807151,6337.467938452212,27.0,1579.0339831364417
121,8742.458916668833,3156.234126114839,27.0,1570.9290037337296
122,4652.747509196345,3331.1710108734096,19.0,1554.5331103452252
123,7310.438701133844,697.3412151827819,28.0,1541.5454029455232
124,3960.0628929974037,5010.675063091039,20.0,1474.8157566322516
125,9349.34932564761,4305.625190557979,27.0,1472.691689325966
126,98.11213593238693,6381.692633505133,35.0,1463.7104644752321
127,8071.389744881197,5370.020786416414,24.0,1463.230031434481
128,7122.675694427053,4885.805417255682,20.0,1441.453803265658
129,2148.687211337749,1570.7257870460342,23.0,1438.4931972988804
130,6071.835855310013,3253.6932786743487,19.0,1436.6312354378547
131,7821.356648728913,4033.802976344686,22.0,1427.9432964694747
132,3981.38654585316,1265.4210320986056,22.0,1426.731368884764
133,2835.070554815556,2728.970736420323,21.0,1415.9587115447805
134,3913.7315624820717,3879.1361741712462,20.0,1388.6800710864695
135,6345.607941361346,2127.708335252336,19.0,1379.74855014772
136,996.2599479373755,242.81407355638115,32.0,1379.1919379530082
137,9123.843747343604,5883.719092753286,26.0,1375.5748781575128
