,px,py,RA,DEC,magV
0,7877.363638922046,1883.6626689315008,15.735271,7.890291,4.28
1,9399.066770411702,4612.066262114875,14.957138,6.4831796,6.16
2,6966.342490742001,6237.987899344916,16.219492,5.6561513,6.02
3,5279.074879991298,6260.682407040398,17.090906,5.648714,5.51
4,2673.267156511756,2515.7118449708587,18.433764,7.575021,5.2
5,2205.405105201687,3645.187520591416,18.67652,6.994936,6.04
6,8618.322747058965,788.4241129554957,15.34616,8.450536,7.51
7,6097.4727268387105,978.8459734847029,16.656406,8.359746,6.94
8,8079.570747723827,70.36702555826105,15.623268,8.821438,7.06
9,1794.9519605942387,3720.295682057499,18.889223,6.9562025,7.66
10,8274.662690728599,1782.9844802112532,15.528595,7.9407773,7.55
11,7483.734948756116,4077.691414088903,15.9465685,6.7647686,7.13
12,2662.1237556823894,2510.0458109381243,18.439474,7.57791,6.23
13,810.1023871297466,5805.4031595235865,19.398682,5.8842115,7.65
14,8503.09111240774,3018.2009137345185,15.414867,7.3052883,7.76
15,6686.82496620731,1030.688922033668,16.350441,8.331795,7.92
16,6652.636793548966,5433.113743935056,16.37977,6.070831,8.23
17,156.91816712862146,2795.0745274762003,19.73932,7.4305105,7.98
18,8716.150552486723,1599.0140697202564,15.298723,8.03366,8.11
19,7939.470511923426,2641.8044146741377,15.705722,7.5006914,7.81
20,1768.6597073695575,194.45998327639973,18.904982,8.768017,8.17
21,7641.0902411739135,505.2932700424067,15.852822,8.599345,8.31
22,9058.052073601028,2919.145358280244,15.126645,7.3541017,8.12
23,6969.68124851102,3534.4120268997453,16.211184,7.045286,7.94
24,5963.898849066506,410.43622765170676,16.724379,8.652196,7.98
25,6062.660833223914,4276.398147459735,16.682125,6.6667123,8.68
26,7293.409612518379,3215.741454875733,16.042685,7.2079067,8.69
27,2656.658219252307,3867.2213692773466,18.443106,6.880979,8.5
28,8083.729720762068,6019.097433695496,15.641699,5.765209,8.57
29,3198.7054145533657,4428.065581222183,18.163097,6.592805,8.55
30,6892.508249875945,1879.4195291380966,16.246561,7.8952494,8.73
31,4864.98029771263,1106.5015766549022,17.296412,8.296466,8.83
32,8213.714567724395,5820.628689123896,15.574205,5.866556,8.82
33,8753.122783020473,167.83411371121565,15.273891,8.768699,8.93
34,8460.464347765761,4089.2774259422517,15.440581,6.75541,9.12
35,2006.9123793263689,1604.1656590053674,18.7797,8.043058,8.95
36,6791.20674258984,1919.97507300358,16.29918,7.8748507,9.01
37,9274.804839037075,4990.009004019615,15.02264,6.2895527,9.46
38,1136.9147590067696,4000.89469243061,19.230457,6.811798,9.03
39,9226.526651677015,5158.774024151768,15.048432,6.203041,9.21
40,2457.8824244240914,3025.8879005952886,18.545427,7.3126307,8.99
41,7440.896606252466,3139.061443900027,15.966027,7.246872,9.25
42,8935.073771437823,296.523657111381,15.179656,8.701813,9.27
43,4203.1467024641715,4119.794574783224,17.64299,6.7504916,8.68
44,547.6259451626156,2988.3001395447914,19.536882,7.3318048,9.51
45,3266.3962439577776,6017.411295211639,18.129427,5.7759438,9.55
46,7798.798944307846,2995.486042515768,15.779993,7.319422,9.51
47,1060.7736460202318,1855.1541540228936,19.271343,7.913753,9.16
48,4044.9933364916515,5851.849734411556,17.726955,5.8601685,9.58
49,9208.018297331279,840.4111146853838,15.040276,8.4216175,9.95
50,2412.1498333244654,3876.140295328235,18.56967,6.8762074,9.15
51,7618.176901229731,133.88878454823225,15.8635845,8.790166,9.3
52,1431.9897372883624,4457.391633717798,19.077442,6.577071,9.7
53,3141.60388382028,4070.034739622955,18.192236,6.77644,9.07
54,4840.572313364101,5430.774457624259,17.315453,6.0762296,9.81
55,3332.835297879459,641.5569017435209,18.0913,8.537104,9.36
56,7582.59082505075,5982.132800595026,15.900208,5.7858906,9.92
57,822.0472097245333,3342.223855579154,19.393848,7.150165,9.39
58,8103.837483037089,3618.458185876716,15.623335,6.9980717,9.89
59,1137.5591687186698,728.9700527839623,19.23214,8.492803,9.36
60,7117.5479415307145,2695.6016753301474,16.13135,7.4750724,10.01
61,6561.916953253412,4385.386467161272,16.42422,6.609619,10.3
62,2020.7863350139978,191.4051825373781,18.773602,8.769138,9.84
63,5277.246685559178,285.08393115520585,17.081457,8.717875,9.83
64,7104.358400334878,5053.093011715212,16.145346,6.264802,10.25
65,3640.127273030169,556.7485685128277,17.931587,8.580333,9.2
66,8432.944866898933,1123.842623781351,15.443895,8.277752,9.87
67,5817.670949657408,6323.470181629082,16.81321,5.615845,9.97
