,px,py,RA,DEC,magV
0,7877.311830085205,1883.675236530387,15.735271,7.890291,4.28
1,9399.045241645024,4612.078506480239,14.957138,6.4831796,6.16
2,6966.288856876983,6237.984056469071,16.219492,5.6561513,6.02
3,5279.055168411753,6260.632052230077,17.090906,5.648714,5.51
4,2673.288292430617,2515.673624084464,18.433764,7.575021,5.2
5,2205.438787793803,3645.149386758083,18.67652,6.994936,6.04
6,8618.235779120323,788.4273488868248,15.34616,8.450536,7.51
7,6097.442117360939,978.8275628864089,16.656406,8.359746,6.94
8,8079.521605564248,70.38229786526244,15.623268,8.821438,7.06
9,1794.9435477842198,3720.3308714676664,18.889223,6.9562025,7.66
10,8274.655275540694,1783.0030420943147,15.528595,7.9407773,7.55
11,7483.6914453162235,4077.6662815824507,15.9465685,6.7647686,7.13
12,2662.1197993392548,2510.0225020606003,18.439474,7.57791,6.23
13,810.1045208853675,5805.3729723263305,19.398682,5.8842115,7.65
14,8503.021692564544,3018.2158929293305,15.414867,7.3052883,7.76
15,6686.8111116847695,1030.69819909746,16.350441,8.331795,7.92
16,6652.577744797222,5433.1087554464475,16.37977,6.070831,8.23
17,8716.073043446999,1599.060587209016,15.298723,8.03366,8.11
18,156.8650338999696,2795.1214612682816,19.73932,7.4305105,7.98
19,7641.060644655606,505.4163011598898,15.852822,8.599345,8.31
20,1768.6173244666938,194.46402721364302,18.904982,8.768017,8.17
21,6969.646561288435,3534.4381567654996,16.211184,7.045286,7.94
22,7939.436250648219,2641.8278590512095,15.705722,7.5006914,7.81
23,9058.018637565809,2919.1636716536705,15.126645,7.3541017,8.12
24,5963.844946425994,410.4131697884536,16.724379,8.652196,7.98
25,6062.62825915597,4276.386638764491,16.682125,6.6667123,8.68
26,7293.400389095055,3215.766725437903,16.042685,7.2079067,8.69
27,2656.639376702543,3867.2194576137613,18.443106,6.880979,8.5
28,8083.723123905796,6019.1148503486775,15.641699,5.765209,8.57
29,3198.7091939559295,4428.074563198242,18.163097,6.592805,8.55
30,6892.4900865934915,1879.441016898726,16.246561,7.8952494,8.73
31,4864.944316069832,1106.5204331099726,17.296412,8.296466,8.83
32,8213.701363572054,5820.664312547086,15.574205,5.866556,8.82
33,8753.047262194856,167.76090494424852,15.273891,8.768699,8.93
34,2006.899534536943,1604.138720327254,18.7797,8.043058,8.95
35,6791.241640160521,1919.843034794776,16.29918,7.8748507,9.01
36,8460.45397015354,4089.2921439142174,15.440581,6.75541,9.12
37,9274.722020049676,4990.096160203359,15.02264,6.2895527,9.46
38,1136.9120927644863,4000.8246984754037,19.230457,6.811798,9.03
39,2457.961330665701,3025.9636641442294,18.545427,7.3126307,8.99
40,9226.467321308955,5158.778931283787,15.048432,6.203041,9.21
41,7440.8329495503995,3139.05445933165,15.966027,7.246872,9.25
42,8934.91072171385,296.43031909637466,15.179656,8.701813,9.27
43,4203.095768452557,4119.7622417367475,17.64299,6.7504916,8.68
44,3266.2999369827407,6017.196931507595,18.129427,5.7759438,9.55
45,547.6101095307749,2988.2734123625073,19.536882,7.3318048,9.51
46,7798.7360632161235,2995.4339305962835,15.779993,7.319422,9.51
47,1060.8829970705433,1855.179587997736,19.271343,7.913753,9.16
48,9207.945505535423,840.3899031650913,15.040276,8.4216175,9.95
49,4044.9274684350207,5851.822540365718,17.726955,5.8601685,9.58
50,822.1499716058488,3341.5971059817057,19.393848,7.150165,9.39
51,3639.1177478061777,557.4051000081795,17.931587,8.580333,9.2
52,2412.161869180776,3876.1210569514155,18.56967,6.8762074,9.15
53,1432.0564295880167,4457.5273085247545,19.077442,6.577071,9.7
54,7618.130476996771,133.85695000232636,15.8635845,8.790166,9.3
55,4840.557128579405,5430.960622646263,17.315453,6.0762296,9.81
56,3141.493118687183,4070.0134832319104,18.192236,6.77644,9.07
57,3332.7652278306437,641.5944425131884,18.0913,8.537104,9.36
58,7582.58572341939,5982.169120247396,15.900208,5.7858906,9.92
59,8103.865263575237,3618.439402281518,15.623335,6.9980717,9.89
60,2020.5385983999086,191.43730328410584,18.773602,8.769138,9.84
61,1137.5229981639222,728.9570332877452,19.23214,8.492803,9.36
62,7394.42980385841,661.8993916442569,15.982105,8.520012,9.71
63,7117.518188736917,2695.636707196355,16.13135,7.4750724,10.01
64,1742.8378362024214,3064.959705907206,18.915972,7.292696,9.49
65,6561.954661432601,4385.368136342842,16.42422,6.609619,10.3
66,9306.925863660037,10.64109691827116,14.985532,8.84624,9.89
67,5816.760372176854,6322.833684008089,16.81321,5.615845,9.97
68,5277.030229158522,284.9182305845211,17.081457,8.717875,9.83
69,8432.900216193411,1123.833980768045,15.443895,8.277752,9.87
